Id,Fotmob Name,Name,Encode Name,Team,Position,App,MIN,G,RG,LG,HG,PG,HW,S,ST,SH%
-1,Goalkeeper_or_Unknown,Goalkeeper_or_Unknown,Goalkeeper_or_Unknown,N/A,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0
1,Alexander Achinioti-Jonnsson,A. Achinioti-Jönsson,Alexander Achinioti Jönsson,Forge FC,Midfielder,29,2399,0,0,0,0,0,0,12,6,50%
2,Andy Baquero,A. Baquero,,Valour FC,Midfielder,26,1839,0,0,0,0,0,0,9,2,22%
3,Abdul Binate,A. Binate,,Pacific FC,Midfielder,3,35,0,0,0,0,0,0,2,0,0%
4,Aidan Daniels,A. Daniels,,HFX Wanderers FC,Forward,29,1885,3,2,1,0,0,1,21,9,43%
5,Alejandro Díaz,A. Díaz,Alejandro Diaz,Vancouver FC,Forward,14,1211,2,0,1,1,0,0,16,6,38%
6,Amer Didic,A. Didic,,Pacific FC,Defender,27,2397,4,1,0,3,0,1,24,10,42%
7,Alessandro Hojabrpour,A. Hojabrpour,,Forge FC,Midfielder,24,1610,1,0,0,0,0,0,12,1,8%
8,Andrew Jean-Baptiste,A. Jean-Baptiste,Andrew Jean Baptiste,Valour FC,Defender,9,487,0,0,0,0,0,0,3,1,33%
9,Ashtone Morgan,A. Morgan,,Forge FC,Defender,11,339,0,0,0,0,0,0,2,1,50%
10,Ali Musse,A. Musse,,Calvary FC,Forward,28,2275,7,1,5,1,0,0,54,24,44%
11,Anthony Novak,A. Novak,,Calvary FC,Forward,23,943,1,1,0,0,0,1,10,5,50%
12,Malik Owolabi-Belewu,A. Owolabi-Belewu,,Forge FC,Defender,18,832,0,0,0,0,0,0,2,0,0%
13,Andre Rampersad,A. Rampersad,,HFX Wanderers FC,Midfielder,19,1149,0,0,0,0,0,0,8,5,63%
14,Adonijah Reid,A. Reid,,Pacific FC,Forward,26,1317,4,2,2,0,0,0,25,15,60%
15,Austin Ricci,A. Ricci,,York United FC,Forward,26,1467,3,1,1,1,0,1,31,14,45%
16,A. Sacko,A. Sacko,,Atletico Ottawa,Midfielder,9,438,0,0,0,0,0,0,6,4,67%
17,Abdoulaye Samake,A. Samaké,,Valour FC,Defender,17,1457,1,1,0,0,0,0,4,2,50%
18,Ahinga Selemani,A. Selemani,,Calvary FC,Forward,10,376,0,0,0,0,0,0,7,4,57%
19,Aymen Sellouf,A. Sellouf,,Pacific FC,Forward,30,1723,7,6,1,0,1,2,27,17,63%
20,Aboubacar Sissoko,A. Sissoko,,Forge FC,Midfielder,27,1349,2,2,0,0,0,2,22,10,45%
21,Anthony White,A. White,,Vancouver FC,Defender,20,1500,0,0,0,0,0,0,1,0,0%
22,Armaan Wilson,A. Wilson,,HFX Wanderers FC,Midfielder,11,336,1,0,0,1,0,1,2,1,50%
23,Alberto Zapater,Alberto Zapater,,Atletico Ottawa,Midfielder,16,1395,0,0,0,0,0,0,1,0,0%
24,Ameer Khadim,Ameer Khadim,,Vancouver FC,Forward,20,466,1,1,0,0,0,1,8,3,38%
25,Beni Badibanga,B. Badibanga,,Forge FC,Forward,12,1036,3,3,0,0,0,1,23,14,61%
