Player,Goals,Total shots,Shots on target,Successful dribbles,Big chances missed,Touches in opposition box,Offsides,Dispossessed,Id,gameDate,Shots on target Success,Shots on target Total,Shots on target Percentage,Successful dribbles Success,Successful dribbles Total,Successful dribbles Percentage,Touches,Ranking,Position,Team,Final Ranking,Player Name
Ryan James,0,0,0/0 (0%),1/1 (100%),0,0,0,0,150,2023-04-15,0,0,0.0,1,1,1.0,98,0.0,Defender,HFX Wanderers FC,0.0,Ryan James
Noah Verhoeven,0,0,0/0 (0%),1/1 (100%),0,0,0,0,138,2023-04-15,0,0,0.0,1,1,1.0,47,0.0,Midfielder,Atletico Ottawa,0.0,Noah Verhoeven
D. Nimick,0,0,0/0 (0%),0/0 (0%),0,0,0,0,47,2023-04-15,0,0,0.0,0,0,0.0,57,0.0,Defender,HFX Wanderers FC,0.0,Daniel Nimick
Luke Singh,0,0,0/0 (0%),1/2 (50%),0,0,0,1,105,2023-04-15,0,0,0.0,1,2,0.5,93,0.0,Defender,Atletico Ottawa,0.0,Luke Singh
R. Ferrazzo,0,2,0/1 (0%),0/0 (0%),0,0,0,0,149,2023-04-15,0,1,0.0,0,0,0.0,101,0.0,Defender,HFX Wanderers FC,0.0,R. Ferrazzo
Maxim Tissot,0,0,0/0 (0%),2/2 (100%),0,0,0,1,128,2023-04-15,0,0,0.0,2,2,1.0,57,0.0,Defender,Atletico Ottawa,0.0,Maxim Tissot
Gianni Dos Santos,0,3,2/3 (67%),0/1 (0%),0,0,1,0,68,2023-04-15,2,3,0.67,0,1,0.0,30,0.0,Forward,Atletico Ottawa,0.0,Gianni Dos Santos
Diego Espejo,0,0,0/0 (0%),0/0 (0%),0,0,0,0,50,2023-04-15,0,0,0.0,0,0,0.0,89,0.0,Defender,Atletico Ottawa,0.0,Diego Espejo
Miguel Acosta,0,0,0/0 (0%),0/0 (0%),0,0,0,0,130,2023-04-15,0,0,0.0,0,0,0.0,58,0.0,Defender,Atletico Ottawa,0.0,Miguel Acosta
G. Antinoro,0,0,0/0 (0%),0/1 (0%),0,0,0,0,60,2023-04-15,0,0,0.0,0,1,0.0,22,0.0,Midfielder,Atletico Ottawa,0.0,Gabriel Antinoro
T. Coimbra,0,0,0/0 (0%),1/2 (50%),0,0,0,0,166,2023-04-15,0,0,0.0,1,2,0.5,12,0.0,Forward,HFX Wanderers FC,0.0,Tiago Coimbra
Karl Ouimette,0,0,0/0 (0%),0/0 (0%),0,0,0,0,95,2023-04-15,0,0,0.0,0,0,0.0,17,0.0,Defender,Atletico Ottawa,0.0,Karl Ouimette
Wesley Timoteo,0,0,0/0 (0%),0/0 (0%),0,0,0,1,181,2023-04-15,0,0,0.0,0,0,0.0,17,0.0,Forward,HFX Wanderers FC,0.0,Wesley Timoteo
Jordan Hamilton,1,3,2/2 (100%),0/0 (0%),0,0,0,0,78,2023-04-15,2,2,1.0,0,0,0.0,20,0.0,Forward,Forge FC,0.0,Jordan Hamilton
Joe Mason,0,1,0/1 (0%),0/1 (0%),0,0,0,1,81,2023-04-15,0,1,0.0,0,1,0.0,22,0.0,Forward,Calvary FC,0.0,Joe Mason
Manjrekar James,0,1,0/1 (0%),2/2 (100%),1,0,0,1,120,2023-04-15,0,1,0.0,2,2,1.0,63,0.0,Defender,Forge FC,0.0,Manjrekar James
Daan Klomp,0,2,1/2 (50%),0/0 (0%),0,0,0,0,46,2023-04-15,1,2,0.5,0,0,0.0,57,0.0,Defender,Calvary FC,0.0,Daan Klomp
Charlie Trafford,0,1,0/0 (0%),0/0 (0%),0,0,0,0,38,2023-04-15,0,0,0.0,0,0,0.0,47,0.0,Midfielder,Calvary FC,0.0,Charlie Trafford
Callum Montgomery,0,1,0/1 (0%),0/0 (0%),0,0,0,0,36,2023-04-15,0,1,0.0,0,0,0.0,52,0.0,Defender,Calvary FC,0.0,Callum Montgomery
Mikael Cantave,1,2,1/1 (100%),2/2 (100%),0,0,1,0,110,2023-04-15,1,1,1.0,2,2,1.0,31,0.0,Forward,Vancouver FC,3.0,Mikael Cantave
